symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
INF,False,-2.381,1.4008,13.05,22713
RA,False,-1.14,0.6407,22.02,55459
BBU,False,-2.4458,3.6,36.41,9187
BRT,False,-2.2238,4.3639,14.34,6573
BRO,True,-1.59,2.6551,36.5,584756
BF.B,True,-2.9701,2.5551,55.9,397869
BT,False,-6.7826,1.8581,10.57,637683
BVN,True,-8.2333,4.4937,14.63,729244
BPL,True,-1.7548,0.8395,40.95,597315
BC,True,-5.0744,4.9309,46.66,599253
BKE,True,-12.9406,3.9109,17.92,389979
BURL,True,-3.1628,3.6,174.44,344959
BG,True,-6.7459,3.6728,53.47,612533
CABO,False,-1.9409,4.5528,1261.41,14097
CJ,False,-7.7697,20.5556,9.45,375284
PFH,False,-9.8637,4.0987,6.47,0
BBW,False,-7.1809,3.8674,3.68,37974
BY,False,-3.7677,2.287,17.67,35349
CBT,True,-4.9642,3.6082,38.99,167825
CACI,False,-2.9474,2.8296,211.04,124361
COG,True,-12.0698,1.2027,16.99,4100527
BWXT,True,-4.4148,14.6817,56.31,186018
WHD,True,-5.8684,6.3423,27.79,367580
CAE,False,-2.0603,1.6387,27.07,98822
CADE,True,-19.1229,3.2701,15.47,718402
CAL,True,-11.4483,5.53,15.38,530399
CRC,False,-15.4684,9.8431,10.92,1424132
CWT,False,-3.3595,2.6908,53.83,87388
CAI,False,-5.9155,3.8904,18.91,57512
CPE,False,-15.9375,10.6236,4.57,9650735
ELY,True,-4.2485,7.3546,18.43,556256
CALX,False,-13.8356,3.23,5.88,155281
CBM,False,-2.8162,47.1309,60.1,92761
CM,True,-1.5189,1.5497,75.99,170248
CWH,False,-16.0886,5.283,8.4,493035
CCJ,False,-7.9279,1.6848,8.47,1504373
CPB,True,-2.6689,1.8626,42.26,1022808
GOOS,True,-5.295,3.7775,43.21,485296
CANG,False,-6.8148,6.6667,6.02,0
CNI,True,-2.7711,3.1415,93.8,479071
CP,True,-1.8961,3.9245,239.84,214600
CNQ,True,-3.481,3.1646,24.03,1248430
CNNE,False,-2.8174,4.8154,29.65,76521
CGC,True,-4.473,4.907,34.2,2022818
COF,True,-5.8915,2.8565,87.21,1875014
CMD,False,-2.0909,10.9219,90.46,100073
CPT,True,-2.2434,1.956,105.49,265684
CAJ,False,-4.0587,1.5141,26.3,117655
CIC,False,-5.8885,4.5035,9.05,13725
CSU,False,-11.1111,9.3878,4.39,74220
